,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,PRODUCT_ID,CAT,TXN,CP,DELIVERY_SCORE,SALES_CHANNEL
39,595,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
40,601,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
41,605,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
42,618,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
43,632,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
44,656,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
45,664,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
46,668,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
47,680,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
48,685,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
49,692,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
50,698,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
51,714,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
52,727,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
53,729,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
54,735,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
55,752,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
56,769,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
57,775,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
58,788,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
59,794,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
60,801,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
61,805,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
62,814,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
63,825,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
64,827,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
65,860,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
66,868,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
67,883,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
68,887,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
69,898,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
70,905,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
71,910,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
72,937,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
73,970,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
74,986,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
75,989,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
76,991,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
77,1004,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
78,1011,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
79,1031,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
80,1041,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
81,1048,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
82,1066,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
83,1071,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
84,1096,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
85,1100,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
86,1108,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
87,1120,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
88,1140,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
89,1156,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
90,1183,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
91,1187,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
92,1197,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
93,1207,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
94,1229,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
95,1245,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
96,1279,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
97,1292,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
98,1317,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
99,1328,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
100,1348,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
101,1356,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
102,1359,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
103,1364,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
104,1393,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
105,1413,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
106,1418,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
107,1453,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
108,1481,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
109,1508,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
110,1517,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
111,1554,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
112,1598,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
113,1611,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
114,1620,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
115,1622,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
116,1627,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
117,1639,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
118,1667,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
119,1692,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
120,1709,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
121,1726,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
122,1749,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
123,1758,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
124,1773,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
125,1802,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
126,1818,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
127,1823,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
128,1838,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
129,1845,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
130,1854,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
131,1863,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
132,1878,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
133,1898,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
134,1903,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
135,1919,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
136,1924,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
137,1928,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
138,1932,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
139,1944,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
140,1964,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
141,1983,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
142,2014,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
143,2019,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
144,2034,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
145,2039,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
146,2053,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
147,2072,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
148,2087,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
149,2106,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
150,2142,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
151,2145,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
152,2159,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
153,2204,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
154,2213,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
155,2223,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
156,2268,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
157,2278,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
158,2297,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
159,2300,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
160,2314,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
161,2320,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
162,2334,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
163,2404,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
164,2426,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
165,2433,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
166,2441,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
167,2452,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
168,2478,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
169,2517,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
170,2526,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
171,2533,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
172,2541,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
173,2545,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
174,2555,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
175,2566,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
176,2575,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
177,2585,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
178,2590,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
179,2596,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
180,2612,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
181,2618,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
182,2623,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
183,2637,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
184,2653,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
185,2665,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
186,2688,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
187,2698,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
188,2705,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
189,2721,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
190,2727,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
191,2737,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
192,2743,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
193,2750,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
194,2752,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
195,2758,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
196,2768,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
197,2771,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
198,2808,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
199,2815,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
200,2856,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
201,2874,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
202,2882,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
203,2910,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
204,2936,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
205,2949,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
206,2958,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
207,2965,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
208,2982,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
209,2990,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
210,3008,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
211,3041,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
212,3050,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
213,3055,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
214,3064,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
215,3077,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
216,3089,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
217,3091,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
218,3095,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
219,3103,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
220,3131,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
221,3145,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
222,3149,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
223,3171,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
224,3202,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
225,3210,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
226,3215,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
227,3222,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
228,3233,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
229,3245,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
230,3255,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
231,3258,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
232,3268,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
233,3289,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
234,3314,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
235,3319,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
236,3341,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
237,3347,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
238,3354,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
239,3363,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
240,3370,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
241,3384,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
242,3404,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
243,3410,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
244,3416,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
245,3422,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
246,3433,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
247,3444,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
248,3455,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
249,3464,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
250,3471,2019-11-11,,,0,0,3,0,0,0,Sin Puntuación,Servicio al cliente
251,3481,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
252,3490,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
253,3496,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
254,3517,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
255,3522,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
256,3536,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
257,3545,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
258,3559,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
259,3563,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
260,3595,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
261,3617,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
262,3634,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
263,3640,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
264,3670,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
265,3681,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
266,3688,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
267,3696,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
268,3699,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
269,3703,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
270,3711,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
271,3716,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
272,3740,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
273,3747,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
274,3765,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
275,3782,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
276,3797,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
277,3810,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
278,3832,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
279,3846,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
280,3868,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
281,3872,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
282,3877,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
283,3890,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
284,3896,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
285,3903,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
286,3922,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
287,3961,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
288,3964,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
289,4007,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
290,4053,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
291,4058,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
292,4071,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
293,4075,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
294,4092,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
295,4131,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
296,4148,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
297,4158,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
298,4165,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
299,4179,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
300,4185,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
301,4199,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
302,4216,2019-11-11,,,0,0,7,0,0,0,Sin Puntuación,Servicio al cliente
303,4221,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
304,4235,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
305,4258,2019-11-11,,,0,0,10,0,0,0,Sin Puntuación,Servicio al cliente
306,4264,2019-11-11,,,0,0,4,0,0,0,Sin Puntuación,Servicio al cliente
307,4266,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
308,4286,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
309,4294,2019-11-11,,,0,0,2,0,0,0,Sin Puntuación,Servicio al cliente
310,4301,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
311,4311,2019-11-11,,,0,0,9,0,0,0,Sin Puntuación,Servicio al cliente
312,4341,2019-11-11,,,0,0,1,0,0,0,Sin Puntuación,Servicio al cliente
313,4376,2019-11-11,,,0,0,8,0,0,0,Sin Puntuación,Servicio al cliente
314,4379,2019-11-11,,,0,0,5,0,0,0,Sin Puntuación,Servicio al cliente
315,4406,2019-11-11,,,0,0,6,0,0,0,Sin Puntuación,Servicio al cliente
